reporting_entity,facility_name,matched_cer_facility_name,type,state,year,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,controlling_corporation,is_summary,capacity_mw,fuel_source,accreditation_code,postcode,accreditation_start_date,approval_date,committed_date,project_status,merge_status,bd_2,bd_3,bd_4,bd_5,erp_17,erp_18,erp_19,erp_21,erp_22,erp_23,erp_f_10,erp_f_11,erp_f_12,erp_f_13,erp_f_14,erp_f_15,erp_f_16,erp_f_17,erp_f_18,erp_f_19,erp_f_20,erp_f_21,erp_f_22,erp_f_23,erp_f_24,erp_f_25,erp_f_26,erp_f_27,erp_f_28,erp_f_29,erp_f_2,erp_f_30,erp_f_31,erp_f_32,erp_f_33,erp_f_34,erp_f_35,erp_f_36,erp_f_37,erp_f_38,erp_f_3,erp_f_4,erp_f_5,erp_f_6,erp_f_7,erp_f_8,erp_f_9,erp_m_10,erp_m_11,erp_m_12,erp_m_13,erp_m_14,erp_m_15,erp_m_16,erp_m_17,erp_m_18,erp_m_19,erp_m_20,erp_m_21,erp_m_22,erp_m_23,erp_m_24,erp_m_25,erp_m_26,erp_m_27,erp_m_28,erp_m_29,erp_m_2,erp_m_30,erp_m_31,erp_m_32,erp_m_33,erp_m_34,erp_m_35,erp_m_36,erp_m_37,erp_m_38,erp_m_3,erp_m_4,erp_m_5,erp_m_6,erp_m_7,erp_m_8,erp_m_9,erp_p_10,erp_p_11,erp_p_12,erp_p_13,erp_p_14,erp_p_15,erp_p_16,erp_p_17,erp_p_18,erp_p_19,erp_p_20,erp_p_21,erp_p_22,erp_p_23,erp_p_24,erp_p_25,erp_p_26,erp_p_27,erp_p_28,erp_p_29,erp_p_2,erp_p_30,erp_p_31,erp_p_32,erp_p_33,erp_p_34,erp_p_35,erp_p_36,erp_p_37,erp_p_38,erp_p_3,erp_p_4,erp_p_5,erp_p_6,erp_p_7,erp_p_8,erp_p_9,ing_1564,ing_alc1,ing_alc2,ing_cultid,ing_disab1,ing_disab2,ing_disab3,ing_disab4,ing_disab5,ing_disab6,ing_disab7,ing_eetp1,ing_eetp2,ing_eetp3,ing_eetph1,ing_eetph2,ing_eetph3,ing_emp1,ing_emp2,ing_emp3,ing_erp_f,ing_erp_m,ing_erp_p,ing_f014,ing_f1524,ing_f2534,ing_f3544,ing_f4554,ing_f55over,ing_heap1,ing_heap2,ing_heap3,ing_hltc1,ing_hltc2,ing_hltc3,ing_hmlss1,ing_hmlss2,ing_hosd10,ing_hosd11,ing_hosd1,ing_hosd2,ing_hosd3,ing_hosd4,ing_hosd5,ing_hosd6,ing_hosd7,ing_hosd8,ing_hosd9,ing_labf,ing_lang1,ing_lang2,ing_lfpr,ing_lfsp1,ing_lfsp2,ing_lfsp3,ing_lthc1,ing_lthc2,ing_lthc3,ing_lthc4,ing_lthc5,ing_lthc6,ing_m014,ing_m1524,ing_m2534,ing_m3544,ing_m4554,ing_m55over,ing_ma_f,ing_ma_m,ing_ma_p,ing_nilf,ing_p014,ing_p1524,ing_p2534,ing_p3544,ing_p4554,ing_p55over,ing_sahlth,ing_smk1,ing_smk2,ing_ttype1,ing_ttype2,ing_ttype3,ing_ttype4,ing_ua1,ing_ua2,ing_unemp1,ing_unemp2,ing_upcc1,ing_upcc2,ing_upcc3,ing_upcc4,ing_upcc5,ing_upcc6,ing_upcc7,ing_upcc8,ing_usp1,ing_usp2,ing_usp3,ing_usp4,ing_volwp1,ing_volwp2,ing_wa1,ing_wa2,ing_yr12c3p1,ing_yr12c3p2,ing_yr12c3p3,land,pension_3,pension_4,pension_5
,Geelong Hospital Cogeneration Plant,,F,VIC,2016,52425.0,14563.0,12725.0,536.0,13261,0.87,On,NEM,Gas,MOMENTUM ENERGY PTY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,Royal Melbourne Hospital Cogeneration Plant,,F,VIC,2016,114617.0,31838.0,26542.0,94.0,26636,0.83,On,NEM,Gas,MOMENTUM ENERGY PTY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,ST. Vincent's Hospital Cogeneration Plant,,F,VIC,2016,47008.0,13058.0,14072.0,544.0,14616,1.08,On,NEM,Gas,MOMENTUM ENERGY PTY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,Mortons Lane Windfarm Pty Ltd,,F,VIC,2016,220200.0,61167.0,0.0,41.0,41,0.0,On,NEM,Wind,MORTONS LANE WIND FARM (HOLDING) PTY LTD,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,Mumbida Wind Farm,,F,WA,2016,547031.0,151953.0,2.0,328.0,330,0.0,On,SWIS,Wind,MUMBIDA WIND FARM HOLDINGS PTY LTD,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45048.0,,,,,,,,,,,36.5,15.1,48.4,6384.0,51.5,12386.0,18001.0,77.6,40.0,,,,,,,,,,3053.0,33.8,9033.0,,,,2618.0,29.0,3.0,59414.0,44655.0,75.2,7963.0,13.4,3492.0,5.9,1510.0,2.5,1796.0,23192.0,14.3,84.6,51.5,14137.0,44.7,31605.0,,,,,,,,,,,,,,,,48.5,,,,,,,,,,18554.0,28.6,42380.0,65.2,6219.0,12.3,5190.0,22.4,9543.0,18.9,4846.0,9.6,15384.0,30.4,28875.0,57.1,,,,,6249.0,12.3,,,3213.0,57.4,5595.0,,,,
,Hazelwood Power Station,,F,VIC,2016,37172802.0,10325778.0,14442736.0,186505.0,14629241,1.4,On,NEM,Brown Coal,NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,New Gullen Range Wind Farm Pty Ltd,,F,NSW,2016,1679312.0,466476.0,0.0,437.0,437,0.0,On,NEM,Wind,NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127179.0,,,,,,,,,,,43.4,17.4,39.2,23789.0,61.7,38572.0,64093.0,84.5,50.4,,,,,,,,,,11558.0,48.3,23931.0,,,,2278.0,6.0,0.3,183501.0,157619.0,85.9,19061.0,10.4,4866.0,2.7,1408.0,0.8,543.0,75865.0,0.9,98.0,59.7,47360.0,54.6,86732.0,,,,,,,,,,,,,,,,40.4,,,,,,,,,,79849.0,40.4,108309.0,54.7,20600.0,14.5,11769.0,15.5,29256.0,20.6,11740.0,8.3,42758.0,30.1,88442.0,62.3,,,,,21598.0,15.2,,,11164.0,64.3,17365.0,,,,
,Kwinana Gas Fired Power Station,,F,WA,2016,6955328.0,1932036.0,766556.0,4059.0,770615,0.4,On,SWIS,Gas,NEWGEN KWINANA HOLDINGS PTY LTD,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45048.0,,,,,,,,,,,36.5,15.1,48.4,6384.0,51.5,12386.0,18001.0,77.6,40.0,,,,,,,,,,3053.0,33.8,9033.0,,,,2618.0,29.0,3.0,59414.0,44655.0,75.2,7963.0,13.4,3492.0,5.9,1510.0,2.5,1796.0,23192.0,14.3,84.6,51.5,14137.0,44.7,31605.0,,,,,,,,,,,,,,,,48.5,,,,,,,,,,18554.0,28.6,42380.0,65.2,6219.0,12.3,5190.0,22.4,9543.0,18.9,4846.0,9.6,15384.0,30.4,28875.0,57.1,,,,,6249.0,12.3,,,3213.0,57.4,5595.0,,,,
,Gladstone Power Station,,F,QLD,2016,24841222.0,6900339.0,6583245.0,52076.0,6635321,0.95,On,NEM,Black Coal,NRG VICTORIA 1 PTY LTD,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109200.0,,,,,,,,,,,40.7,16.7,42.6,18322.0,55.4,33101.0,51783.0,79.7,47.4,,,,,,,,,,8976.0,42.4,21189.0,,,,4450.0,21.0,1.8,156485.0,124198.0,79.4,19286.0,12.3,7408.0,4.7,2704.0,1.7,2886.0,64962.0,7.3,89.9,59.5,38701.0,52.1,74325.0,,,,,,,,,,,,,,,,40.5,,,,,,,,,,50164.0,29.8,110759.0,65.8,15171.0,12.6,13177.0,20.3,25923.0,21.5,10556.0,8.8,38265.0,31.8,73560.0,61.1,,,,,18300.0,15.2,,,10400.0,69.5,14964.0,,,,
,Onslow Power Station,,F,WA,2016,53587.0,14885.0,9371.0,0.0,9371,0.63,Off,Off-grid,Gas,ONSLOW ELECTRIC POWER PTY LTD,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45048.0,,,,,,,,,,,36.5,15.1,48.4,6384.0,51.5,12386.0,18001.0,77.6,40.0,,,,,,,,,,3053.0,33.8,9033.0,,,,2618.0,29.0,3.0,59414.0,44655.0,75.2,7963.0,13.4,3492.0,5.9,1510.0,2.5,1796.0,23192.0,14.3,84.6,51.5,14137.0,44.7,31605.0,,,,,,,,,,,,,,,,48.5,,,,,,,,,,18554.0,28.6,42380.0,65.2,6219.0,12.3,5190.0,22.4,9543.0,18.9,4846.0,9.6,15384.0,30.4,28875.0,57.1,,,,,6249.0,12.3,,,3213.0,57.4,5595.0,,,,
,Australand,,F,NSW,2016,4139.0,1150.0,685.0,48.0,733,0.6,On,NEM,Gas,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127179.0,,,,,,,,,,,43.4,17.4,39.2,23789.0,61.7,38572.0,64093.0,84.5,50.4,,,,,,,,,,11558.0,48.3,23931.0,,,,2278.0,6.0,0.3,183501.0,157619.0,85.9,19061.0,10.4,4866.0,2.7,1408.0,0.8,543.0,75865.0,0.9,98.0,59.7,47360.0,54.6,86732.0,,,,,,,,,,,,,,,,40.4,,,,,,,,,,79849.0,40.4,108309.0,54.7,20600.0,14.5,11769.0,15.5,29256.0,20.6,11740.0,8.3,42758.0,30.1,88442.0,62.3,,,,,21598.0,15.2,,,11164.0,64.3,17365.0,,,,
,Ballarat Solar Park,,F,VIC,2016,1402.0,389.0,0.0,2.0,2,0.0,On,NEM,Solar,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,Bendigo Solar Park,,F,VIC,2016,1833.0,509.0,0.0,4.0,4,0.0,On,NEM,Solar,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,Blackmores,,F,NSW,2016,4811.0,1336.0,970.0,56.0,1026,0.73,On,NEM,Gas,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127179.0,,,,,,,,,,,43.4,17.4,39.2,23789.0,61.7,38572.0,64093.0,84.5,50.4,,,,,,,,,,11558.0,48.3,23931.0,,,,2278.0,6.0,0.3,183501.0,157619.0,85.9,19061.0,10.4,4866.0,2.7,1408.0,0.8,543.0,75865.0,0.9,98.0,59.7,47360.0,54.6,86732.0,,,,,,,,,,,,,,,,40.4,,,,,,,,,,79849.0,40.4,108309.0,54.7,20600.0,14.5,11769.0,15.5,29256.0,20.6,11740.0,8.3,42758.0,30.1,88442.0,62.3,,,,,21598.0,15.2,,,11164.0,64.3,17365.0,,,,
,Bond,,F,NSW,2016,4035.0,1121.0,620.0,47.0,667,0.55,On,NEM,Gas,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127179.0,,,,,,,,,,,43.4,17.4,39.2,23789.0,61.7,38572.0,64093.0,84.5,50.4,,,,,,,,,,11558.0,48.3,23931.0,,,,2278.0,6.0,0.3,183501.0,157619.0,85.9,19061.0,10.4,4866.0,2.7,1408.0,0.8,543.0,75865.0,0.9,98.0,59.7,47360.0,54.6,86732.0,,,,,,,,,,,,,,,,40.4,,,,,,,,,,79849.0,40.4,108309.0,54.7,20600.0,14.5,11769.0,15.5,29256.0,20.6,11740.0,8.3,42758.0,30.1,88442.0,62.3,,,,,21598.0,15.2,,,11164.0,64.3,17365.0,,,,
,Chifley Square,,F,NSW,2016,3005.0,835.0,580.0,35.0,615,0.69,On,NEM,Gas,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127179.0,,,,,,,,,,,43.4,17.4,39.2,23789.0,61.7,38572.0,64093.0,84.5,50.4,,,,,,,,,,11558.0,48.3,23931.0,,,,2278.0,6.0,0.3,183501.0,157619.0,85.9,19061.0,10.4,4866.0,2.7,1408.0,0.8,543.0,75865.0,0.9,98.0,59.7,47360.0,54.6,86732.0,,,,,,,,,,,,,,,,40.4,,,,,,,,,,79849.0,40.4,108309.0,54.7,20600.0,14.5,11769.0,15.5,29256.0,20.6,11740.0,8.3,42758.0,30.1,88442.0,62.3,,,,,21598.0,15.2,,,11164.0,64.3,17365.0,,,,
,Cullerin Wind Farm,,F,NSW,2016,367841.0,102178.0,8.0,90.0,98,0.0,On,NEM,Wind,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127179.0,,,,,,,,,,,43.4,17.4,39.2,23789.0,61.7,38572.0,64093.0,84.5,50.4,,,,,,,,,,11558.0,48.3,23931.0,,,,2278.0,6.0,0.3,183501.0,157619.0,85.9,19061.0,10.4,4866.0,2.7,1408.0,0.8,543.0,75865.0,0.9,98.0,59.7,47360.0,54.6,86732.0,,,,,,,,,,,,,,,,40.4,,,,,,,,,,79849.0,40.4,108309.0,54.7,20600.0,14.5,11769.0,15.5,29256.0,20.6,11740.0,8.3,42758.0,30.1,88442.0,62.3,,,,,21598.0,15.2,,,11164.0,64.3,17365.0,,,,
,Dandenong,,F,VIC,2016,8719.0,2422.0,1524.0,256.0,1780,0.63,On,NEM,Gas,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,Darling Downs Power Station,,F,QLD,2016,13228362.0,3674545.0,1561214.0,5208.0,1566422,0.42,On,NEM,Gas,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109200.0,,,,,,,,,,,40.7,16.7,42.6,18322.0,55.4,33101.0,51783.0,79.7,47.4,,,,,,,,,,8976.0,42.4,21189.0,,,,4450.0,21.0,1.8,156485.0,124198.0,79.4,19286.0,12.3,7408.0,4.7,2704.0,1.7,2886.0,64962.0,7.3,89.9,59.5,38701.0,52.1,74325.0,,,,,,,,,,,,,,,,40.5,,,,,,,,,,50164.0,29.8,110759.0,65.8,15171.0,12.6,13177.0,20.3,25923.0,21.5,10556.0,8.8,38265.0,31.8,73560.0,61.1,,,,,18300.0,15.2,,,10400.0,69.5,14964.0,,,,
,Drapac,,F,VIC,2016,2673.0,743.0,462.0,42.0,504,0.62,On,NEM,Gas,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,Eraring Power Station,,F,NSW,2016,52673634.0,14631565.0,12913436.0,35003.0,12948439,0.88,On,NEM,Black Coal,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127179.0,,,,,,,,,,,43.4,17.4,39.2,23789.0,61.7,38572.0,64093.0,84.5,50.4,,,,,,,,,,11558.0,48.3,23931.0,,,,2278.0,6.0,0.3,183501.0,157619.0,85.9,19061.0,10.4,4866.0,2.7,1408.0,0.8,543.0,75865.0,0.9,98.0,59.7,47360.0,54.6,86732.0,,,,,,,,,,,,,,,,40.4,,,,,,,,,,79849.0,40.4,108309.0,54.7,20600.0,14.5,11769.0,15.5,29256.0,20.6,11740.0,8.3,42758.0,30.1,88442.0,62.3,,,,,21598.0,15.2,,,11164.0,64.3,17365.0,,,,
,Exhibition Street,,F,VIC,2016,9755.0,2710.0,1493.0,153.0,1646,0.55,On,NEM,Gas,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28618.0,,,,,,,,,,,46.0,18.0,36.0,5591.0,65.4,8551.0,15062.0,85.9,52.6,,,,,,,,,,3257.0,56.5,5764.0,,,,783.0,3.0,0.3,40336.0,35320.0,87.6,3763.0,9.3,949.0,2.4,197.0,0.5,109.0,17543.0,1.0,96.5,61.3,11306.0,57.3,19738.0,,,,,,,,,,,,,,,,38.7,,,,,,,,,,18813.0,43.0,22551.0,51.6,4560.0,14.3,2484.0,14.2,6428.0,20.2,2607.0,8.2,9408.0,29.5,20129.0,63.1,,,,,5878.0,18.4,,,2781.0,69.6,3997.0,,,,
,Kent Street,,F,NSW,2016,12395.0,3443.0,1751.0,145.0,1896,0.51,On,NEM,Gas,ORIGIN ENERGY LIMITED,False,,,,,,,,,nger_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127179.0,,,,,,,,,,,43.4,17.4,39.2,23789.0,61.7,38572.0,64093.0,84.5,50.4,,,,,,,,,,11558.0,48.3,23931.0,,,,2278.0,6.0,0.3,183501.0,157619.0,85.9,19061.0,10.4,4866.0,2.7,1408.0,0.8,543.0,75865.0,0.9,98.0,59.7,47360.0,54.6,86732.0,,,,,,,,,,,,,,,,40.4,,,,,,,,,,79849.0,40.4,108309.0,54.7,20600.0,14.5,11769.0,15.5,29256.0,20.6,11740.0,8.3,42758.0,30.1,88442.0,62.3,,,,,21598.0,15.2,,,11164.0,64.3,17365.0,,,,
