reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,year,controlling_corporation,is_summary,geo_query,latitude,longitude,place_id,formatted_address,geocode_status
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Gullen Solar Pty Ltd,F,NSW,70810.0,19670.0,0.0,178.0,178,0.0,On,NEM,Solar,2020,,False,"Gullen Solar Pty Ltd, NSW, Australia",,,,,
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,1964482.0,545689.0,87.0,149.0,236,0.0,On,NEM,Wind,2020,,False,"New Gullen Range Wind Farm Pty Ltd, NSW, Australia",,,,,
BHP GROUP LIMITED,Yarnima Power Station,F,WA,2630286.0,730635.0,315226.0,0.0,315226,0.43,Off,Off-grid,Gas,2020,,False,"Yarnima Power Station, WA, Australia",,,,,
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,6277068.0,1743630.0,1469272.0,2534.0,1471806,0.84,On,SWIS,Black Coal,2020,,False,"Bluewaters Power 1, WA, Australia",,,,,
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,6378372.0,1771770.0,1434244.0,1300.0,1435544,0.81,On,SWIS,Black Coal,2020,,False,"Bluewaters Power 2, WA, Australia",,,,,
C S ENERGY LIMITED,Callide B Power Station,F,QLD,17537843.0,4871623.0,4612039.0,35504.0,4647543,0.95,On,NEM,Black Coal,2020,,False,"Callide B Power Station, QLD, Australia",,,,,
C S ENERGY LIMITED,Callide C Power Station,F,QLD,20169245.0,5602568.0,5101734.0,31810.0,5133544,0.91,On,NEM,Black Coal,2020,,False,"Callide C Power Station, QLD, Australia",,,,,
C S ENERGY LIMITED,Kogan Creek Power Station,F,QLD,14928102.0,4146695.0,3486138.0,6980.0,3493118,0.84,On,NEM,Black Coal,2020,,False,"Kogan Creek Power Station, QLD, Australia",,,,,
C S ENERGY LIMITED,Wivenhoe Power Station,F,QLD,134625.0,37396.0,11.0,52925.0,52936,0.0,On,NEM,Hydro,2020,,False,"Wivenhoe Power Station, QLD, Australia",,,,,
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,794085.0,220579.0,6013.0,1245.0,7258,0.03,On,NEM,Bagasse,2020,,False,"Broadwater Power Plant, NSW, Australia",,,,,
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,694896.0,193027.0,5381.0,1434.0,6815,0.03,On,NEM,Bagasse,2020,,False,"Condong Power Plant, NSW, Australia",,,,,
CECEP WIND POWER AUSTRALIA HOLDING PTY LTD,White Rock Wind Farm Pty Ltd,F,NSW,1505668.0,418241.0,89.0,241.0,330,0.0,On,NEM,Wind,2020,,False,"White Rock Wind Farm Pty Ltd, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Appin CSM Power Station,F,NSW,665043.0,184734.0,133911.0,6.0,133917,0.72,On,NEM,Waste Coal Mine Gas,2020,,False,"Appin CSM Power Station, NSW, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Ardyaloon Facility,F,WA,7128.0,1980.0,1412.0,0.0,1412,0.71,Off,Off-grid,Diesel,2020,,False,"Ardyaloon Facility, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Beagle Bay Facility,F,WA,6837.0,1899.0,1368.0,0.0,1368,0.72,Off,Off-grid,Diesel,2020,,False,"Beagle Bay Facility, WA, Australia",,,,,
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Belrose LFG Power Station,F,NSW,7540.0,2095.0,134.0,3.0,137,0.06,On,NEM,Landfill Gas,2020,,False,"Belrose LFG Power Station, NSW, Australia",,,,,
