measure_data_item,time_period_time_period,obs_value,unit_measure_unit_of_measure,state,year
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2019,17021.0,PSNS: Persons,NT,2019
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2020,17078.0,PSNS: Persons,NT,2020
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2021,17348.0,PSNS: Persons,NT,2021
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2022,17652.0,PSNS: Persons,NT,2022
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2023,18104.0,PSNS: Persons,NT,2023
ERP_P_31: Estimated resident population:Persons aged 50-54 years (%),2019,6.2,PCT: Percent,NT,2019
ERP_P_31: Estimated resident population:Persons aged 50-54 years (%),2020,6.2,PCT: Percent,NT,2020
ERP_P_31: Estimated resident population:Persons aged 50-54 years (%),2021,6.3,PCT: Percent,NT,2021
ERP_P_31: Estimated resident population:Persons aged 50-54 years (%),2022,6.3,PCT: Percent,NT,2022
ERP_P_31: Estimated resident population:Persons aged 50-54 years (%),2023,6.3,PCT: Percent,NT,2023
ING_USP3: Aboriginal and Torres Strait Islander Peoples:Aboriginal Medical Service is preferred health service provider (no.),2019,122451.0,PSNS: Persons,NSW,2019
ERP_F_24: Estimated resident population:Females aged 15-19 years (%),2019,5.4,PCT: Percent,TAS,2019
ERP_F_24: Estimated resident population:Females aged 15-19 years (%),2020,5.3,PCT: Percent,TAS,2020
ERP_F_24: Estimated resident population:Females aged 15-19 years (%),2021,5.2,PCT: Percent,TAS,2021
ERP_F_24: Estimated resident population:Females aged 15-19 years (%),2022,5.3,PCT: Percent,TAS,2022
ERP_F_24: Estimated resident population:Females aged 15-19 years (%),2023,5.4,PCT: Percent,TAS,2023
ING_HOSD1: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2016,5099.0,PSNS: Persons,ACT,2016
ING_HOSD1: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2021,7102.0,PSNS: Persons,ACT,2021
ING_TTYPE1: Aboriginal and Torres Strait Islander Peoples:Tenure type:Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2016,2558.0,PSNS: Persons,ACT,2016
ING_TTYPE1: Aboriginal and Torres Strait Islander Peoples:Tenure type:Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2021,3647.0,PSNS: Persons,ACT,2021
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2022,30020.0,PSNS: Persons,WA,2022
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2023,30972.0,PSNS: Persons,WA,2023
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2019,20004.0,PSNS: Persons,ACT,2019
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2020,20821.0,PSNS: Persons,ACT,2020
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2021,21087.0,PSNS: Persons,ACT,2021
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2022,21264.0,PSNS: Persons,ACT,2022
ERP_P_14: Estimated resident population:Persons aged 60-64 years (no.),2023,21388.0,PSNS: Persons,ACT,2023
ING_P55OVER: Estimated resident Aboriginal and Torres Strait Islander population aged 55 years and (no.),2021,5374.0,PSNS: Persons,TAS,2021
ERP_M_13: Estimated resident population:Males aged 55-59 years (no.),2019,154738.0,PSNS: Persons,QLD,2019
ERP_M_13: Estimated resident population:Males aged 55-59 years (no.),2020,156379.0,PSNS: Persons,QLD,2020
ERP_M_13: Estimated resident population:Males aged 55-59 years (no.),2021,156075.0,PSNS: Persons,QLD,2021
ERP_M_13: Estimated resident population:Males aged 55-59 years (no.),2022,156266.0,PSNS: Persons,QLD,2022
ERP_M_13: Estimated resident population:Males aged 55-59 years (no.),2023,156138.0,PSNS: Persons,QLD,2023
"ING_EETP3: Aboriginal and Torres Strait Islander Peoples:Not engaged in employment, education or training (%)",2016,37.7,PCT: Percent,TAS,2016
"ING_EETP3: Aboriginal and Torres Strait Islander Peoples:Not engaged in employment, education or training (%)",2021,36.4,PCT: Percent,TAS,2021
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2019,26360.0,PSNS: Persons,WA,2019
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2020,27707.0,PSNS: Persons,WA,2020
ERP_F_18: Estimated resident population:Females aged 80-84 years (no.),2021,28830.0,PSNS: Persons,WA,2021
ERP_18: Working age population (persons aged 15-64 years) (no.),2019,4332060.0,PSNS: Persons,VIC,2019
ERP_18: Working age population (persons aged 15-64 years) (no.),2020,4365870.0,PSNS: Persons,VIC,2020
ERP_18: Working age population (persons aged 15-64 years) (no.),2021,4282802.0,PSNS: Persons,VIC,2021
ERP_18: Working age population (persons aged 15-64 years) (no.),2022,4336677.0,PSNS: Persons,VIC,2022
ERP_18: Working age population (persons aged 15-64 years) (no.),2023,4480278.0,PSNS: Persons,VIC,2023
ING_LTHC3: Aboriginal and Torres Strait Islander Peoples:Two long-term health conditions (no.),2019,27536.0,PSNS: Persons,QLD,2019
ING_F4554: Estimated resident Aboriginal and Torres Strait Islander population:Females aged 45-54 years (no.),2021,455.0,PSNS: Persons,ACT,2021
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2019,6.8,PCT: Percent,ACT,2019
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2020,6.8,PCT: Percent,ACT,2020
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2021,6.7,PCT: Percent,ACT,2021
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2022,6.6,PCT: Percent,ACT,2022
ERP_M_22: Estimated resident population:Males aged 5-9 years (%),2023,6.4,PCT: Percent,ACT,2023
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2019,1.6,PCT: Percent,OT,2019
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2020,1.8,PCT: Percent,OT,2020
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2021,1.9,PCT: Percent,OT,2021
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2022,2.1,PCT: Percent,OT,2022
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2023,2.3,PCT: Percent,OT,2023
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2022,13358.0,PSNS: Persons,TAS,2022
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2023,13821.0,PSNS: Persons,TAS,2023
ING_ERP_P: Estimated resident Aboriginal and Torres Strait Islander population:Persons (no.),2021,9525.0,PSNS: Persons,ACT,2021
ING_HLTC1: Aboriginal and Torres Strait Islander Peoples:Recognises an area as homelands/traditional country (%),2015,80.2,PCT: Percent,WA,2015
ING_HLTC1: Aboriginal and Torres Strait Islander Peoples:Recognises an area as homelands/traditional country (%),2019,79.6,PCT: Percent,WA,2019
ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),2019,259846.0,PSNS: Persons,VIC,2019
ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),2020,263622.0,PSNS: Persons,VIC,2020
ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),2021,258724.0,PSNS: Persons,VIC,2021
ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),2022,261424.0,PSNS: Persons,VIC,2022
ERP_F_8: Estimated resident population:Females aged 30-34 years (no.),2023,270377.0,PSNS: Persons,VIC,2023
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2019,12261.0,PSNS: Persons,TAS,2019
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2020,12561.0,PSNS: Persons,TAS,2020
ERP_P_19: Estimated resident population:Persons aged 85 and over (no.),2021,12938.0,PSNS: Persons,TAS,2021
ERP_F_32: Estimated resident population:Females aged 55-59 years (%),2019,5.5,PCT: Percent,ACT,2019
ERP_F_32: Estimated resident population:Females aged 55-59 years (%),2020,5.5,PCT: Percent,ACT,2020
ERP_F_32: Estimated resident population:Females aged 55-59 years (%),2021,5.3,PCT: Percent,ACT,2021
ERP_F_32: Estimated resident population:Females aged 55-59 years (%),2022,5.2,PCT: Percent,ACT,2022
ERP_F_32: Estimated resident population:Females aged 55-59 years (%),2023,5.0,PCT: Percent,ACT,2023
ING_VOLWP2: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (%),2016,14.2,PCT: Percent,SA,2016
ING_VOLWP2: Aboriginal and Torres Strait Islander Peoples:Volunteered to work for an organisation or group (%),2021,10.7,PCT: Percent,SA,2021
ING_SMK1: Aboriginal and Torres Strait Islander Peoples:Ex-smoker/never smoked (no.),2015,30877.0,PSNS: Persons,WA,2015
ING_SMK1: Aboriginal and Torres Strait Islander Peoples:Ex-smoker/never smoked (no.),2019,37866.0,PSNS: Persons,WA,2019
ERP_M_35: Estimated resident population:Males aged 70-74 years (%),2019,4.2,PCT: Percent,NSW,2019
ERP_M_35: Estimated resident population:Males aged 70-74 years (%),2020,4.3,PCT: Percent,NSW,2020
ERP_M_35: Estimated resident population:Males aged 70-74 years (%),2021,4.4,PCT: Percent,NSW,2021
ERP_M_35: Estimated resident population:Males aged 70-74 years (%),2022,4.3,PCT: Percent,NSW,2022
ERP_M_35: Estimated resident population:Males aged 70-74 years (%),2023,4.2,PCT: Percent,NSW,2023
BD_4: Registered deaths (no.),2018,38231.0,PSNS: Persons,VIC,2018
BD_4: Registered deaths (no.),2019,43944.0,PSNS: Persons,VIC,2019
BD_4: Registered deaths (no.),2020,41093.0,PSNS: Persons,VIC,2020
BD_4: Registered deaths (no.),2021,42486.0,PSNS: Persons,VIC,2021
BD_4: Registered deaths (no.),2022,47978.0,PSNS: Persons,VIC,2022
BD_4: Registered deaths (no.),2023,45326.0,PSNS: Persons,VIC,2023
ING_EETPH3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 15-24 years (no.),2016,4096.0,PSNS: Persons,TAS,2016
ING_EETPH3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 15-24 years (no.),2021,5069.0,PSNS: Persons,TAS,2021
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2019,7.1,PCT: Percent,OT,2019
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2020,7.2,PCT: Percent,OT,2020
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2021,7.3,PCT: Percent,OT,2021
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2022,7.2,PCT: Percent,OT,2022
ERP_P_28: Estimated resident population:Persons aged 35-39 years (%),2023,7.1,PCT: Percent,OT,2023
ING_HEAP3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 25-34 years (no.),2021,5793.0,PSNS: Persons,SA,2021
ING_EMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force employed,2016,79.8,PCT: Percent,SA,2016
ING_EMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force employed,2021,84.2,PCT: Percent,SA,2021
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2019,7.0,PCT: Percent,TAS,2019
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2020,6.8,PCT: Percent,TAS,2020
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2021,6.5,PCT: Percent,TAS,2021
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2022,6.3,PCT: Percent,TAS,2022
ERP_M_32: Estimated resident population:Males aged 55-59 years (%),2023,6.1,PCT: Percent,TAS,2023
ING_UPCC4: Aboriginal and Torres Strait Islander Peoples:Cared for other child/children (%),2016,11.1,PCT: Percent,OT,2016
ING_UPCC4: Aboriginal and Torres Strait Islander Peoples:Cared for other child/children (%),2021,6.3,PCT: Percent,OT,2021
ING_HEAP3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 25-34 years (no.),2016,3994.0,PSNS: Persons,SA,2016
ING_LTHC5: Aboriginal and Torres Strait Islander Peoples:One or more current long-term health conditions (no.),2019,62365.0,PSNS: Persons,WA,2019
ERP_P_32: Estimated resident population:Persons aged 55-59 years (%),2019,6.2,PCT: Percent,QLD,2019
ERP_P_32: Estimated resident population:Persons aged 55-59 years (%),2020,6.2,PCT: Percent,QLD,2020
ERP_P_32: Estimated resident population:Persons aged 55-59 years (%),2021,6.1,PCT: Percent,QLD,2021
ERP_P_32: Estimated resident population:Persons aged 55-59 years (%),2022,6.0,PCT: Percent,QLD,2022
ERP_P_32: Estimated resident population:Persons aged 55-59 years (%),2023,5.8,PCT: Percent,QLD,2023
ERP_P_37: Estimated resident population:Persons aged 80-84 years (%),2019,1.5,PCT: Percent,ACT,2019
ERP_P_37: Estimated resident population:Persons aged 80-84 years (%),2020,1.6,PCT: Percent,ACT,2020
ERP_P_37: Estimated resident population:Persons aged 80-84 years (%),2021,1.6,PCT: Percent,ACT,2021
ERP_P_37: Estimated resident population:Persons aged 80-84 years (%),2022,1.7,PCT: Percent,ACT,2022
ERP_P_37: Estimated resident population:Persons aged 80-84 years (%),2023,1.7,PCT: Percent,ACT,2023
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2019,83773.0,PSNS: Persons,WA,2019
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2020,83464.0,PSNS: Persons,WA,2020
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2021,82778.0,PSNS: Persons,WA,2021
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2022,82616.0,PSNS: Persons,WA,2022
ERP_F_2: Estimated resident population:Females aged 0-4 years (no.),2023,82179.0,PSNS: Persons,WA,2023
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2019,6.8,PCT: Percent,NSW,2019
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2020,6.6,PCT: Percent,NSW,2020
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2021,6.3,PCT: Percent,NSW,2021
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2022,6.3,PCT: Percent,NSW,2022
ERP_P_25: Estimated resident population:Persons aged 20-24 years (%),2023,6.6,PCT: Percent,NSW,2023
"ING_CULTID: Aboriginal and Torres Strait Islander Peoples:Identifies with tribal group, language group, clan, mission or regional group (%)",2015,67.5,PCT: Percent,ACT,2015
"ING_CULTID: Aboriginal and Torres Strait Islander Peoples:Identifies with tribal group, language group, clan, mission or regional group (%)",2019,75.0,PCT: Percent,ACT,2019
ING_UPCC3: Aboriginal and Torres Strait Islander Peoples:Cared for other child/children (no.),2016,384.0,PSNS: Persons,ACT,2016
ING_UPCC3: Aboriginal and Torres Strait Islander Peoples:Cared for other child/children (no.),2021,474.0,PSNS: Persons,ACT,2021
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2019,3.9,PCT: Percent,ACT,2019
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2020,3.8,PCT: Percent,ACT,2020
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2021,3.7,PCT: Percent,ACT,2021
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2022,3.7,PCT: Percent,ACT,2022
ERP_M_34: Estimated resident population:Males aged 65-69 years (%),2023,3.7,PCT: Percent,ACT,2023
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2019,1.6,PCT: Percent,VIC,2019
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2020,1.6,PCT: Percent,VIC,2020
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2021,1.7,PCT: Percent,VIC,2021
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2022,1.7,PCT: Percent,VIC,2022
ERP_M_38: Estimated resident population:Males aged 85 and over (%),2023,1.7,PCT: Percent,VIC,2023
ING_HOSD5: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring two additional bedrooms (no.),2016,949.0,PSNS: Persons,VIC,2016
ING_HOSD5: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring two additional bedrooms (no.),2021,1339.0,PSNS: Persons,VIC,2021
ERP_F_11: Estimated resident population:Females aged 45-49 years (no.),2019,14609.0,PSNS: Persons,ACT,2019
ERP_F_11: Estimated resident population:Females aged 45-49 years (no.),2020,14811.0,PSNS: Persons,ACT,2020
ERP_F_11: Estimated resident population:Females aged 45-49 years (no.),2021,14636.0,PSNS: Persons,ACT,2021
ERP_F_11: Estimated resident population:Females aged 45-49 years (no.),2022,14503.0,PSNS: Persons,ACT,2022
ERP_F_11: Estimated resident population:Females aged 45-49 years (no.),2023,14453.0,PSNS: Persons,ACT,2023
ING_YR12C3P3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 20-24 years (no.),2016,1822.0,PSNS: Persons,TAS,2016
ING_YR12C3P3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 20-24 years (no.),2021,2383.0,PSNS: Persons,TAS,2021
ING_DISAB6: Aboriginal and Torres Strait Islander Peoples:Total with disability (%),2019,34.5,PCT: Percent,WA,2019
ING_USP3: Aboriginal and Torres Strait Islander Peoples:Aboriginal Medical Service is preferred health service provider (no.),2019,2824.0,PSNS: Persons,ACT,2019
ING_M3544: Estimated resident Aboriginal and Torres Strait Islander population:Males aged 35-44 years (no.),2021,7409.0,PSNS: Persons,WA,2021
ING_HMLSS1: Estimate of persons who were homeless or likely to be homeless who identified as Aboriginal or Torres Strait Islander (no.),2016,783.0,PSNS: Persons,VIC,2016
ING_HMLSS1: Estimate of persons who were homeless or likely to be homeless who identified as Aboriginal or Torres Strait Islander (no.),2021,1109.0,PSNS: Persons,VIC,2021
ING_EMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force employed,2016,79.7,PCT: Percent,QLD,2016
ING_EMP2: Aboriginal and Torres Strait Islander Peoples:% of total labour force employed,2021,86.5,PCT: Percent,QLD,2021
ERP_P_4: Estimated resident population:Persons aged 10-14 years (no.),2022,33938.0,PSNS: Persons,TAS,2022
ERP_P_4: Estimated resident population:Persons aged 10-14 years (no.),2023,33582.0,PSNS: Persons,TAS,2023
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2019,2469.0,PSNS: Persons,NT,2019
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2020,2734.0,PSNS: Persons,NT,2020
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2021,2975.0,PSNS: Persons,NT,2021
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2022,3014.0,PSNS: Persons,NT,2022
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2023,3140.0,PSNS: Persons,NT,2023
ING_MA_F: Estimated resident Aboriginal and Torres Strait Islander population:Median age:Females (years),2021,24.2,YR: Years,VIC,2021
ING_P1524: Estimated resident Aboriginal and Torres Strait Islander population aged 15-24 years (no.),2021,14554.0,PSNS: Persons,VIC,2021
ERP_F_12: Estimated resident population:Females aged 50-54 years (no.),2019,56661.0,PSNS: Persons,SA,2019
ERP_F_12: Estimated resident population:Females aged 50-54 years (no.),2020,57234.0,PSNS: Persons,SA,2020
ERP_F_12: Estimated resident population:Females aged 50-54 years (no.),2021,58117.0,PSNS: Persons,SA,2021
ERP_F_12: Estimated resident population:Females aged 50-54 years (no.),2022,59176.0,PSNS: Persons,SA,2022
ERP_F_12: Estimated resident population:Females aged 50-54 years (no.),2023,59402.0,PSNS: Persons,SA,2023
ERP_P_4: Estimated resident population:Persons aged 10-14 years (no.),2019,33392.0,PSNS: Persons,TAS,2019
ERP_P_4: Estimated resident population:Persons aged 10-14 years (no.),2020,33939.0,PSNS: Persons,TAS,2020
ERP_P_4: Estimated resident population:Persons aged 10-14 years (no.),2021,34269.0,PSNS: Persons,TAS,2021
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2019,28013.0,PSNS: Persons,ACT,2019
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2020,27738.0,PSNS: Persons,ACT,2020
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2021,27071.0,PSNS: Persons,ACT,2021
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2022,26624.0,PSNS: Persons,ACT,2022
ERP_P_2: Estimated resident population:Persons aged 0-4 years (no.),2023,26411.0,PSNS: Persons,ACT,2023
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2019,5.7,PCT: Percent,TAS,2019
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2020,5.5,PCT: Percent,TAS,2020
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2021,5.4,PCT: Percent,TAS,2021
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2022,5.5,PCT: Percent,TAS,2022
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2023,5.7,PCT: Percent,TAS,2023
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2019,278.0,PSNS: Persons,OT,2019
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2020,288.0,PSNS: Persons,OT,2020
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2021,286.0,PSNS: Persons,OT,2021
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2022,295.0,PSNS: Persons,OT,2022
ERP_P_7: Estimated resident population:Persons aged 25-29 years (no.),2023,300.0,PSNS: Persons,OT,2023
ING_HOSD6: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring two additional bedrooms (%),2016,13.4,PCT: Percent,NT,2016
ING_HOSD6: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring two additional bedrooms (%),2021,12.7,PCT: Percent,NT,2021
ERP_P_15: Estimated resident population:Persons aged 65-69 years (no.),2022,413974.0,PSNS: Persons,NSW,2022
ERP_P_15: Estimated resident population:Persons aged 65-69 years (no.),2023,421301.0,PSNS: Persons,NSW,2023
ERP_M_4: Estimated resident population:Males aged 10-14 years (no.),2019,12962.0,PSNS: Persons,ACT,2019
ERP_M_4: Estimated resident population:Males aged 10-14 years (no.),2020,13630.0,PSNS: Persons,ACT,2020
ERP_M_4: Estimated resident population:Males aged 10-14 years (no.),2021,14005.0,PSNS: Persons,ACT,2021
ERP_M_4: Estimated resident population:Males aged 10-14 years (no.),2022,14148.0,PSNS: Persons,ACT,2022
ERP_M_4: Estimated resident population:Males aged 10-14 years (no.),2023,14434.0,PSNS: Persons,ACT,2023
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2019,5.8,PCT: Percent,WA,2019
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2020,5.8,PCT: Percent,WA,2020
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2021,5.8,PCT: Percent,WA,2021
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2022,5.9,PCT: Percent,WA,2022
ERP_P_24: Estimated resident population:Persons aged 15-19 years (%),2023,6.1,PCT: Percent,WA,2023
ING_YR12C3P1: Aboriginal and Torres Strait Islander Peoples:20-24 year olds that attained Year 12 or equivalent or Certificate III or above (no.),2016,1616.0,PSNS: Persons,SA,2016
ING_YR12C3P1: Aboriginal and Torres Strait Islander Peoples:20-24 year olds that attained Year 12 or equivalent or Certificate III or above (no.),2021,2262.0,PSNS: Persons,SA,2021
ERP_P_15: Estimated resident population:Persons aged 65-69 years (no.),2019,393734.0,PSNS: Persons,NSW,2019
ERP_P_15: Estimated resident population:Persons aged 65-69 years (no.),2020,403426.0,PSNS: Persons,NSW,2020
ERP_P_15: Estimated resident population:Persons aged 65-69 years (no.),2021,407740.0,PSNS: Persons,NSW,2021
ING_HEAP2: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (%),2016,18.1,PCT: Percent,NT,2016
ING_HEAP2: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (%),2021,19.0,PCT: Percent,NT,2021
ING_HEAP3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 25-34 years (no.),2016,942.0,PSNS: Persons,ACT,2016
ING_HEAP3: Aboriginal and Torres Strait Islander Peoples:Total applicable population aged 25-34 years (no.),2021,1482.0,PSNS: Persons,ACT,2021
ING_HOSD7: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring three additional bedrooms (no.),2016,1408.0,PSNS: Persons,NSW,2016
ING_HOSD7: Aboriginal and Torres Strait Islander Peoples:Living in a dwelling requiring three additional bedrooms (no.),2021,1549.0,PSNS: Persons,NSW,2021
ING_ALC1: Aboriginal and Torres Strait Islander Peoples:Alcohol consumption did not exceed life time alcohol risk levels (2009 guidelines) (no.),2015,3696.0,PSNS: Persons,ACT,2015
ING_ALC1: Aboriginal and Torres Strait Islander Peoples:Alcohol consumption did not exceed life time alcohol risk levels (2009 guidelines) (no.),2019,4049.0,PSNS: Persons,ACT,2019
ING_DISAB2: Aboriginal and Torres Strait Islander Peoples:Disability status: Moderate/mild core activity limitation (no.),2019,6842.0,PSNS: Persons,SA,2019
ING_ERP_F: Estimated resident Aboriginal and Torres Strait Islander population:Females (no.),2021,17070.0,PSNS: Persons,TAS,2021
ING_ERP_M: Estimated resident Aboriginal and Torres Strait Islander population:Males (no.),2021,39658.0,PSNS: Persons,VIC,2021
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2019,505155.0,PSNS: Persons,NSW,2019
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2020,510651.0,PSNS: Persons,NSW,2020
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2021,520894.0,PSNS: Persons,NSW,2021
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2022,533559.0,PSNS: Persons,NSW,2022
ERP_P_10: Estimated resident population:Persons aged 40-44 years (no.),2023,553730.0,PSNS: Persons,NSW,2023
ERP_F_19: Estimated resident population:Females aged 85 and over (no.),2023,8235.0,PSNS: Persons,TAS,2023
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2019,2.2,PCT: Percent,TAS,2019
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2020,2.3,PCT: Percent,TAS,2020
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2021,2.4,PCT: Percent,TAS,2021
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2022,2.5,PCT: Percent,TAS,2022
ERP_M_37: Estimated resident population:Males aged 80-84 years (%),2023,2.6,PCT: Percent,TAS,2023
ING_MA_P: Estimated resident Aboriginal and Torres Strait Islander population:Median age:Persons (years),2021,24.8,YR: Years,WA,2021
ERP_F_19: Estimated resident population:Females aged 85 and over (no.),2019,7552.0,PSNS: Persons,TAS,2019
ERP_F_19: Estimated resident population:Females aged 85 and over (no.),2020,7673.0,PSNS: Persons,TAS,2020
ERP_F_19: Estimated resident population:Females aged 85 and over (no.),2021,7832.0,PSNS: Persons,TAS,2021
ERP_F_19: Estimated resident population:Females aged 85 and over (no.),2022,8045.0,PSNS: Persons,TAS,2022
BD_3: Total fertility rate (births per female) (rate),2018,1.82,RATE: Rate,WA,2018
BD_3: Total fertility rate (births per female) (rate),2019,1.78,RATE: Rate,WA,2019
BD_3: Total fertility rate (births per female) (rate),2020,1.72,RATE: Rate,WA,2020
BD_3: Total fertility rate (births per female) (rate),2021,1.73,RATE: Rate,WA,2021
BD_3: Total fertility rate (births per female) (rate),2022,1.69,RATE: Rate,WA,2022
BD_3: Total fertility rate (births per female) (rate),2023,1.65,RATE: Rate,WA,2023
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2019,15119.0,PSNS: Persons,NT,2019
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2020,15274.0,PSNS: Persons,NT,2020
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2021,15145.0,PSNS: Persons,NT,2021
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2022,15487.0,PSNS: Persons,NT,2022
ERP_P_5: Estimated resident population:Persons aged 15-19 years (no.),2023,15935.0,PSNS: Persons,NT,2023
