measure_data_item,time_period_time_period,obs_value,unit_measure_unit_of_measure,state,year
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2019,139.0,PSNS: Persons,OT,2019
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2020,160.0,PSNS: Persons,OT,2020
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2021,156.0,PSNS: Persons,OT,2021
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2022,156.0,PSNS: Persons,OT,2022
ERP_P_17: Estimated resident population:Persons aged 75-79 years (no.),2023,167.0,PSNS: Persons,OT,2023
ING_LTHC3: Aboriginal and Torres Strait Islander Peoples:Two long-term health conditions (no.),2019,12831.0,PSNS: Persons,WA,2019
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2019,6.9,PCT: Percent,OT,2019
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2020,6.7,PCT: Percent,OT,2020
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2021,6.7,PCT: Percent,OT,2021
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2022,6.7,PCT: Percent,OT,2022
ERP_P_34: Estimated resident population:Persons aged 65-69 years (%),2023,7.0,PCT: Percent,OT,2023
ERP_F_23: Estimated resident population:Females aged 10-14 years (%),2022,5.8,PCT: Percent,ACT,2022
