Controlling corporation,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected,Grid,Primary Fuel,Important Notes
CLARKE ENERGY (AUSTRALIA) PTY LTD,Daandine Power Station,F,QLD,933429,259286,132099,0.0,132099,0.51,On,NEM,Coal Seam Methane,
CLARKE ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,,933429,259286,132099,0.0,132099,,,,,
CONTRACT POWER AUSTRALIA PTY LTD,Cue Town Powerstation,F,WA,8671,2409,1682,0.0,1682,0.7,Off,Off-grid,Liquid Fuel,
CONTRACT POWER AUSTRALIA PTY LTD,FMG Cloud Break Mine Site Power Station,F,WA,622995,173054,116101,0.0,116101,0.67,Off,Off-grid,Diesel,
CONTRACT POWER AUSTRALIA PTY LTD,Meekatharra Town Powerstation,F,WA,27859,7739,5320,0.0,5320,0.69,Off,Off-grid,Liquid Fuel,
CONTRACT POWER AUSTRALIA PTY LTD,Mt Magnet Town Powerstation,F,WA,14705,4085,3141,0.0,3141,0.77,Off,Off-grid,Gas,
CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,WA,54245,15068,10711,0.0,10711,0.71,Off,Off-grid,Diesel,
CONTRACT POWER AUSTRALIA PTY LTD,Sandstone Town Powerstation,F,WA,2447,680,523,0.0,523,0.77,Off,Off-grid,Liquid Fuel,
CONTRACT POWER AUSTRALIA PTY LTD,Wiluna Town Powerstation,F,WA,9022,2506,1753,0.0,1753,0.7,Off,Off-grid,Liquid Fuel,
CONTRACT POWER AUSTRALIA PTY LTD,Yalgoo Town Powerstation,F,WA,3918,1088,790,0.0,790,0.73,Off,Off-grid,Liquid Fuel,
CONTRACT POWER AUSTRALIA PTY LTD,Corporate Total,C,,743862,206628,140021,0.0,140021,,,,,
CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,WA,2414544,670707,238,752.0,990,0.0,On,SWIS,Wind,
CWF HOLDINGS PTY LTD,Corporate Total,C,,2414544,670707,238,752.0,990,,,,,
CWP RENEWABLES PTY LTD,Boco Rock Wind Farm Pty Ltd,F,NSW,1202811,334114,94,932.0,1026,0.0,On,NEM,Wind,
CWP RENEWABLES PTY LTD,Taralga Wind Farm Pty Ltd,F,NSW,1011619,281005,59,273.0,332,0.0,On,NEM,Wind,
CWP RENEWABLES PTY LTD,Corporate Total,C,,2214430,615119,153,1205.0,1358,,,,,
DELTA ELECTRICITY,Brown Mountain Power Station,F,NSW,84542,23484,11,2.0,13,0.0,On,NEM,Hydro,
DELTA ELECTRICITY,Vales Point Power Station,F,NSW,13577741,3771595,3087615,43060.0,3130675,0.82,On,NEM,Black Coal,
DELTA ELECTRICITY,Corporate Total,C,,13662283,3795079,3087626,43062.0,3130688,,,,,
DIAMANTINA HOLDING COMPANY PTY LIMITED,Diamantina Power Station,F,QLD,6180779,1716883,681541,68.0,681609,0.4,On,Mt Isa,Gas,
DIAMANTINA HOLDING COMPANY PTY LIMITED,Corporate Total,C,,6180779,1716883,681541,68.0,681609,,,,,
DIF INFRA 4 HOLDINGS AUSTRALIA PTY LTD,Royalla Solar Farm,F,ACT,138848,38569,0,190.0,190,0.0,On,NEM,Solar,
DIF INFRA 4 HOLDINGS AUSTRALIA PTY LTD,Corporate Total,C,,138848,38569,0,190.0,190,,,,,
ECOGEN HOLDINGS PTY LTD,Jeeralang Power Station,F,VIC,247972,68881,52033,6752.0,58785,0.76,On,NEM,Gas,
ECOGEN HOLDINGS PTY LTD,Newport Power Station,F,VIC,1196359,332322,185976,21715.0,207691,0.56,On,NEM,Gas,
ECOGEN HOLDINGS PTY LTD,Corporate Total,C,,1444331,401203,238009,28467.0,266476,,,,,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Albany Wind Farm,F,WA,345142,95873,12,8.0,20,0.0,On,SWIS,Wind,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel Power Station,F,WA,6244,1734,14,3.0,17,0.01,On,SWIS,Wind/Diesel,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Cockburn Power Station,F,WA,2297450,638181,251963,0.0,251963,0.39,On,SWIS,Gas,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Collie Power Station,F,WA,8180901,2272473,2051107,6776.0,2057883,0.9,On,SWIS,Black Coal,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel Power Station,F,WA,12099,3361,1541,0.0,1541,0.46,Off,Off-grid,Wind/Diesel,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Denham Wind Farm,F,WA,6683,1856,0,0.0,0,0.0,Off,Off-grid,Wind,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Esperance Wind Farm,F,WA,51539,14316,0,7.0,7,0.0,Off,Off-grid,Wind,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel Power Station,F,WA,18456,5127,2366,0.0,2366,0.46,Off,Off-grid,Wind/Diesel,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,F,WA,13826,3841,0,6.0,6,0.0,On,SWIS,Wind,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,WA,6361,1767,2151,0.0,2151,1.22,On,SWIS,Gas,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,WA,2469976,686104,367213,964.0,368177,0.54,On,SWIS,Gas,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,F,WA,15928915,4424699,4270462,2788.0,4273250,0.97,On,SWIS,Black Coal,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,F,WA,65514,18198,14545,0.0,14545,0.8,On,SWIS,Gas,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,F,WA,2197630,610453,496932,0.0,496932,0.81,On,SWIS,Gas,
ELECTRICITY GENERATION AND RETAIL CORPORATION,South West Cogeneration Joint Venture,F,WA,2652093,736693,462828,32.0,462860,0.63,On,SWIS,Gas,
ELECTRICITY GENERATION AND RETAIL CORPORATION,Corporate Total,C,,34252829,9514675,7921134,10584.0,7931718,,,,,
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,WA,387,108,76,0.0,76,0.71,On,SWIS,Liquid Fuel,
ELECTRICITY NETWORKS CORPORATION,Corporate Total,C,,387,108,76,0.0,76,,,,,
ENERGEX LTD,Energy Impact - Bromelton Peak Generation Plant,F,QLD,4248,1180,851,422.0,1273,0.72,On,NEM,Liquid Fuel,
ENERGEX LTD,Energy Impact - Generation,F,QLD,3650,1014,715,0.0,715,0.71,On,NEM,Liquid Fuel,
ENERGEX LTD,Corporate Total,C,,7898,2194,1566,422.0,1988,,,,,
DUET COMPANY LIMITED,Appin CSM Power Station,F,NSW,572159,158933,123944,54.0,123998,0.78,On,NEM,Coal Seam Methane,
